name,settlement_type,state,district,population,latitude,longitude,source
Visakhapatnam,city,Andhra Pradesh,Visakhapatnam,1730320,17.6868,83.2185,census_2011_reference
Gajuwaka,industrial_area,Andhra Pradesh,Visakhapatnam,250000,17.6833,83.2167,estimate
Vijayawada,city,Andhra Pradesh,NTR,1034358,16.5062,80.6480,census_2011_reference
Guntur,city,Andhra Pradesh,Guntur,743354,16.3067,80.4365,census_2011_reference
Nellore,city,Andhra Pradesh,SPSR Nellore,558548,14.4426,79.9865,census_2011_reference
Kurnool,city,Andhra Pradesh,Kurnool,484327,15.8281,78.0373,census_2011_reference
Kakinada,city,Andhra Pradesh,Kakinada,384182,16.9891,82.2475,census_2011_reference
Rajahmundry,city,Andhra Pradesh,East Godavari,341831,17.0005,81.8040,census_2011_reference
Tirupati,city,Andhra Pradesh,Tirupati,374260,13.6288,79.4192,census_2011_reference
Anantapur,city,Andhra Pradesh,Anantapur,262340,14.6819,77.6006,census_2011_reference
Tadipatri,town,Andhra Pradesh,Anantapur,108171,14.9100,77.9800,census_2011_reference
Krishnapatnam,village,Andhra Pradesh,SPSR Nellore,8000,14.2800,80.1100,estimate
Ibrahimpatnam,town,Andhra Pradesh,NTR,40000,16.5900,80.5000,estimate
Hyderabad,city,Telangana,Hyderabad,6809970,17.3850,78.4867,census_2011_reference
Warangal,city,Telangana,Warangal,704570,17.9689,79.5941,census_2011_reference
Nizamabad,city,Telangana,Nizamabad,310467,18.6725,78.0941,census_2011_reference
Karimnagar,city,Telangana,Karimnagar,261185,18.4386,79.1288,census_2011_reference
Ramagundam,city,Telangana,Peddapalli,229632,18.7550,79.4740,census_2011_reference
Khammam,city,Telangana,Khammam,262255,17.2473,80.1514,census_2011_reference
Kothagudem,town,Telangana,Bhadradri Kothagudem,80000,17.5500,80.6167,estimate
Mancherial,town,Telangana,Mancherial,89935,18.8700,79.4400,census_2011_reference
Patancheru,town,Telangana,Sangareddy,44000,17.5300,78.2600,estimate
Sangareddy,town,Telangana,Sangareddy,68000,17.6200,78.0800,estimate
Chennai,city,Tamil Nadu,Chennai,4646732,13.0827,80.2707,census_2011_reference
Manali,industrial_area,Tamil Nadu,Chennai,40000,13.1650,80.2600,estimate
Ennore,town,Tamil Nadu,Tiruvallur,45000,13.2200,80.3200,estimate
Coimbatore,city,Tamil Nadu,Coimbatore,1061447,11.0168,76.9558,census_2011_reference
Madurai,city,Tamil Nadu,Madurai,1017865,9.9252,78.1198,census_2011_reference
Tiruchirappalli,city,Tamil Nadu,Tiruchirappalli,847387,10.7905,78.7047,census_2011_reference
Salem,city,Tamil Nadu,Salem,831038,11.6643,78.1460,census_2011_reference
Tirunelveli,city,Tamil Nadu,Tirunelveli,474838,8.7139,77.7567,census_2011_reference
Thoothukudi,city,Tamil Nadu,Thoothukudi,237830,8.7642,78.1348,census_2011_reference
Vellore,city,Tamil Nadu,Vellore,185803,12.9165,79.1325,census_2011_reference
Cuddalore,town,Tamil Nadu,Cuddalore,173636,11.7480,79.7714,census_2011_reference
Neyveli,town,Tamil Nadu,Cuddalore,128000,11.6100,79.4900,estimate
Mettur,town,Tamil Nadu,Salem,47000,11.7900,77.8000,estimate
Nagapattinam,town,Tamil Nadu,Nagapattinam,102905,10.7672,79.8449,census_2011_reference
Ariyalur,town,Tamil Nadu,Ariyalur,28902,11.1400,79.0800,census_2011_reference
Bengaluru,city,Karnataka,Bengaluru Urban,8443675,12.9716,77.5946,census_2011_reference
Mysuru,city,Karnataka,Mysuru,887446,12.2958,76.6394,census_2011_reference
Hubballi-Dharwad,city,Karnataka,Dharwad,943857,15.3647,75.1240,census_2011_reference
Mangaluru,city,Karnataka,Dakshina Kannada,484785,12.9141,74.8560,census_2011_reference
Belagavi,city,Karnataka,Belagavi,490045,15.8497,74.4977,census_2011_reference
Ballari,city,Karnataka,Ballari,409644,15.1394,76.9214,census_2011_reference
Raichur,city,Karnataka,Raichur,232456,16.2076,77.3463,census_2011_reference
Hosapete,city,Karnataka,Vijayanagara,206159,15.2689,76.3909,census_2011_reference
Toranagallu,village,Karnataka,Ballari,15000,15.1900,76.6700,estimate
Shaktinagar,village,Karnataka,Raichur,10000,16.3500,77.3600,estimate
Kudgi,village,Karnataka,Vijayapura,5000,16.5300,75.9600,estimate
Vijayapura,city,Karnataka,Vijayapura,327427,16.8302,75.7100,census_2011_reference
Udupi,town,Karnataka,Udupi,165401,13.3409,74.7421,census_2011_reference
Kochi,city,Kerala,Ernakulam,677381,9.9312,76.2673,census_2011_reference
Tripunithura,town,Kerala,Ernakulam,100000,9.9500,76.3400,estimate
Ambalamugal,village,Kerala,Ernakulam,25000,9.9800,76.3900,estimate
Eloor,town,Kerala,Ernakulam,34000,10.0700,76.3000,estimate
Thiruvananthapuram,city,Kerala,Thiruvananthapuram,957730,8.5241,76.9366,census_2011_reference
Kozhikode,city,Kerala,Kozhikode,609224,11.2588,75.7804,census_2011_reference
Thrissur,city,Kerala,Thrissur,315596,10.5276,76.2144,census_2011_reference
Kollam,city,Kerala,Kollam,349033,8.8932,76.6141,census_2011_reference
Alappuzha,town,Kerala,Alappuzha,174176,9.4981,76.3388,census_2011_reference
Kayamkulam,town,Kerala,Alappuzha,68634,9.1700,76.5000,census_2011_reference
Mumbai,city,Maharashtra,Mumbai,12442373,19.0760,72.8777,census_2011_reference
Chembur,industrial_area,Maharashtra,Mumbai,400000,19.0522,72.9005,estimate
Pune,city,Maharashtra,Pune,3124458,18.5204,73.8567,census_2011_reference
Nagpur,city,Maharashtra,Nagpur,2405665,21.1458,79.0882,census_2011_reference
Nashik,city,Maharashtra,Nashik,1486053,19.9975,73.7898,census_2011_reference
Chhatrapati Sambhajinagar,city,Maharashtra,Chhatrapati Sambhajinagar,1175116,19.8762,75.3433,census_2011_reference
Solapur,city,Maharashtra,Solapur,951118,17.6599,75.9064,census_2011_reference
Thane,city,Maharashtra,Thane,1841488,19.2183,72.9781,census_2011_reference
Navi Mumbai,city,Maharashtra,Thane,1120547,19.0330,73.0297,census_2011_reference
Chandrapur,city,Maharashtra,Chandrapur,321036,19.9615,79.2961,census_2011_reference
Uran,town,Maharashtra,Raigad,30439,18.8800,72.9400,census_2011_reference
Alibag,town,Maharashtra,Raigad,20743,18.6414,72.8722,census_2011_reference
Nanded,city,Maharashtra,Nanded,550564,19.1383,77.3210,census_2011_reference
Ratnagiri,town,Maharashtra,Ratnagiri,76239,16.9902,73.3120,census_2011_reference
Boisar,town,Maharashtra,Palghar,60000,19.8000,72.7500,estimate
Gondia,town,Maharashtra,Gondia,132821,21.4600,80.1900,census_2011_reference
Tirora,town,Maharashtra,Gondia,25000,21.4100,79.9300,estimate
Ahmedabad,city,Gujarat,Ahmedabad,5577940,23.0225,72.5714,census_2011_reference
Surat,city,Gujarat,Surat,4467797,21.1702,72.8311,census_2011_reference
Vadodara,city,Gujarat,Vadodara,1670806,22.3072,73.1812,census_2011_reference
Rajkot,city,Gujarat,Rajkot,1286995,22.3039,70.8022,census_2011_reference
Jamnagar,city,Gujarat,Jamnagar,600943,22.4707,70.0577,census_2011_reference
Bhavnagar,city,Gujarat,Bhavnagar,605882,21.7645,72.1519,census_2011_reference
Bharuch,town,Gujarat,Bharuch,168729,21.7051,72.9959,census_2011_reference
Ankleshwar,town,Gujarat,Bharuch,140839,21.6264,73.0152,census_2011_reference
Vapi,town,Gujarat,Valsad,163630,20.3893,72.9106,census_2011_reference
Gandhidham,city,Gujarat,Kutch,248705,23.0753,70.1337,census_2011_reference
Bhuj,city,Gujarat,Kutch,188236,23.2420,69.6669,census_2011_reference
Mundra,town,Gujarat,Kutch,21313,22.8391,69.7227,census_2011_reference
Hazira,town,Gujarat,Surat,30000,21.1170,72.6500,estimate
Dahej,village,Gujarat,Bharuch,12000,21.7000,72.5700,estimate
Sikka,town,Gujarat,Jamnagar,25000,22.4300,69.8300,estimate
Vadinar,village,Gujarat,Devbhumi Dwarka,8000,22.4400,69.7100,estimate
Morbi,city,Gujarat,Morbi,194947,22.8173,70.8377,census_2011_reference
Kandla,town,Gujarat,Kutch,21000,23.0333,70.2167,estimate
Mehsana,city,Gujarat,Mehsana,184991,23.5880,72.3693,census_2011_reference
Kalol,town,Gujarat,Gandhinagar,133737,23.2467,72.4970,census_2011_reference
Jaipur,city,Rajasthan,Jaipur,3046163,26.9124,75.7873,census_2011_reference
